Platform,Category,Problem Name,URL,Difficulty,Key Concept
LeetCode,Backtracking,52. N-Queens II,https://leetcode.com/problems/n-queens-ii/,Hard,Backtracking
LeetCode,Array,53. Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,Medium,"Array, Divide and Conquer, Dynamic Programming"
LeetCode,Array,54. Spiral Matrix,https://leetcode.com/problems/spiral-matrix/,Medium,"Array, Matrix, Simulation"
LeetCode,Array,55. Jump Game,https://leetcode.com/problems/jump-game/,Medium,"Array, Dynamic Programming, Greedy"
LeetCode,Array,56. Merge Intervals,https://leetcode.com/problems/merge-intervals/,Medium,"Array, Sorting"
LeetCode,Array,57. Insert Interval,https://leetcode.com/problems/insert-interval/,Medium,Array
LeetCode,String,58. Length of Last Word,https://leetcode.com/problems/length-of-last-word/,Easy,String
LeetCode,Array,59. Spiral Matrix II,https://leetcode.com/problems/spiral-matrix-ii/,Medium,"Array, Matrix, Simulation"
LeetCode,Math,60. Permutation Sequence,https://leetcode.com/problems/permutation-sequence/,Hard,"Math, Recursion"
LeetCode,Linked List,61. Rotate List,https://leetcode.com/problems/rotate-list/,Medium,"Linked List, Two Pointers"
LeetCode,Math,62. Unique Paths,https://leetcode.com/problems/unique-paths/,Medium,"Math, Dynamic Programming, Combinatorics"
LeetCode,Array,63. Unique Paths II,https://leetcode.com/problems/unique-paths-ii/,Medium,"Array, Dynamic Programming, Matrix"
LeetCode,Array,64. Minimum Path Sum,https://leetcode.com/problems/minimum-path-sum/,Medium,"Array, Dynamic Programming, Matrix"
LeetCode,String,65. Valid Number,https://leetcode.com/problems/valid-number/,Hard,String
LeetCode,Array,66. Plus One,https://leetcode.com/problems/plus-one/,Easy,"Array, Math"
LeetCode,Math,67. Add Binary,https://leetcode.com/problems/add-binary/,Easy,"Math, String, Bit Manipulation, Simulation"
LeetCode,Array,68. Text Justification,https://leetcode.com/problems/text-justification/,Hard,"Array, String, Simulation"
LeetCode,Math,69. Sqrt(x),https://leetcode.com/problems/sqrtx/,Easy,"Math, Binary Search"
LeetCode,Math,70. Climbing Stairs,https://leetcode.com/problems/climbing-stairs/,Easy,"Math, Dynamic Programming, Memoization"
LeetCode,String,71. Simplify Path,https://leetcode.com/problems/simplify-path/,Medium,"String, Stack"
LeetCode,String,72. Edit Distance,https://leetcode.com/problems/edit-distance/,Medium,"String, Dynamic Programming"
LeetCode,Array,73. Set Matrix Zeroes,https://leetcode.com/problems/set-matrix-zeroes/,Medium,"Array, Hash Table, Matrix"
LeetCode,Array,74. Search a 2D Matrix,https://leetcode.com/problems/search-a-2d-matrix/,Medium,"Array, Binary Search, Matrix"
LeetCode,Array,75. Sort Colors,https://leetcode.com/problems/sort-colors/,Medium,"Array, Two Pointers, Sorting"
LeetCode,Hash Table,76. Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,Hard,"Hash Table, String, Sliding Window"
LeetCode,Backtracking,77. Combinations,https://leetcode.com/problems/combinations/,Medium,Backtracking
LeetCode,Array,78. Subsets,https://leetcode.com/problems/subsets/,Medium,"Array, Backtracking, Bit Manipulation"
LeetCode,Array,79. Word Search,https://leetcode.com/problems/word-search/,Medium,"Array, String, Backtracking, Depth-First Search, Matrix"
LeetCode,Array,80. Remove Duplicates from Sorted Array II,https://leetcode.com/problems/remove-duplicates-from-sorted-array-ii/,Medium,"Array, Two Pointers"
LeetCode,Array,81. Search in Rotated Sorted Array II,https://leetcode.com/problems/search-in-rotated-sorted-array-ii/,Medium,"Array, Binary Search"
LeetCode,Linked List,82. Remove Duplicates from Sorted List II,https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii/,Medium,"Linked List, Two Pointers"
LeetCode,Linked List,83. Remove Duplicates from Sorted List,https://leetcode.com/problems/remove-duplicates-from-sorted-list/,Easy,Linked List
LeetCode,Array,84. Largest Rectangle in Histogram,https://leetcode.com/problems/largest-rectangle-in-histogram/,Hard,"Array, Stack, Monotonic Stack"
LeetCode,Array,85. Maximal Rectangle,https://leetcode.com/problems/maximal-rectangle/,Hard,"Array, Dynamic Programming, Stack, Matrix, Monotonic Stack"
LeetCode,Linked List,86. Partition List,https://leetcode.com/problems/partition-list/,Medium,"Linked List, Two Pointers"
