[    1611ms] [INFO] %cDownload the React DevTools for a better development experience: https://react.dev/link/react-devtools font-weight:bold @ http://localhost:4000/node_modules/.vite/deps/react-dom_client.js?v=1721c6aa:14337
[  428952ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  431954ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  434956ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  437958ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  440960ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  443962ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  446965ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  449967ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  452970ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  456400ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  459404ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  462407ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  465410ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  468412ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  471414ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  474426ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  477428ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  480430ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  483435ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  486438ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  489853ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  492855ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  495857ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  498861ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  501863ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  504865ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  507867ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  510868ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  513871ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  516872ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  520279ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  523281ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  526283ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  529285ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  532287ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  535288ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  538291ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  541293ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  544295ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  547298ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  550301ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  553306ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  556308ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  559311ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  562313ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  565322ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  568329ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  571342ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  574346ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  577348ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  580356ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  583358ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  586360ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  589362ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  592364ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  595367ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  598369ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  601371ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  604373ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  607376ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  610378ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  613380ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  616382ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  619385ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  622387ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  625401ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  628403ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  631421ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  634424ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  637429ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  640434ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  643437ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  646458ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  649462ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  652464ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
[  655466ms] [ERROR] Failed to load resource: net::ERR_CONNECTION_REFUSED @ http://localhost:4000/__tsd/console-pipe/sse:0
